"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teams__teamId","teams__win","teams__firstBlood","teams__firstTower","teams__firstInhibitor","teams__firstBaron","teams__firstDragon","teams__firstRiftHerald","teams__towerKills","teams__inhibitorKills","teams__baronKills","teams__dragonKills","teams__vilemawKills","teams__riftHeraldKills","teams__dominionVictoryScore","teams__bans__championId","teams__bans__pickTurn","participants__participantId","participants__teamId","participants__championId","participants__spell1Id","participants__spell2Id","participants__highestAchievedSeasonTier","participants__stats__participantId","participants__stats__win","participants__stats__item0","participants__stats__item1","participants__stats__item2","participants__stats__item3","participants__stats__item4","participants__stats__item5","participants__stats__item6","participants__stats__kills","participants__stats__deaths","participants__stats__assists","participants__stats__largestKillingSpree","participants__stats__largestMultiKill","participants__stats__killingSprees","participants__stats__longestTimeSpentLiving","participants__stats__doubleKills","participants__stats__tripleKills","participants__stats__quadraKills","participants__stats__pentaKills","participants__stats__unrealKills","participants__stats__totalDamageDealt","participants__stats__magicDamageDealt","participants__stats__physicalDamageDealt","participants__stats__trueDamageDealt","participants__stats__largestCriticalStrike","participants__stats__totalDamageDealtToChampions","participants__stats__magicDamageDealtToChampions","participants__stats__physicalDamageDealtToChampions","participants__stats__trueDamageDealtToChampions","participants__stats__totalHeal","participants__stats__totalUnitsHealed","participants__stats__damageSelfMitigated","participants__stats__damageDealtToObjectives","participants__stats__damageDealtToTurrets","participants__stats__visionScore","participants__stats__timeCCingOthers","participants__stats__totalDamageTaken","participants__stats__magicalDamageTaken","participants__stats__physicalDamageTaken","participants__stats__trueDamageTaken","participants__stats__goldEarned","participants__stats__goldSpent","participants__stats__turretKills","participants__stats__inhibitorKills","participants__stats__totalMinionsKilled","participants__stats__neutralMinionsKilled","participants__stats__neutralMinionsKilledTeamJungle","participants__stats__neutralMinionsKilledEnemyJungle","participants__stats__totalTimeCrowdControlDealt","participants__stats__champLevel","participants__stats__visionWardsBoughtInGame","participants__stats__sightWardsBoughtInGame","participants__stats__wardsPlaced","participants__stats__wardsKilled","participants__stats__firstBloodKill","participants__stats__firstBloodAssist","participants__stats__firstTowerKill","participants__stats__firstTowerAssist","participants__stats__firstInhibitorKill","participants__stats__firstInhibitorAssist","participants__stats__combatPlayerScore","participants__stats__objectivePlayerScore","participants__stats__totalPlayerScore","participants__stats__totalScoreRank","participants__stats__playerScore0","participants__stats__playerScore1","participants__stats__playerScore2","participants__stats__playerScore3","participants__stats__playerScore4","participants__stats__playerScore5","participants__stats__playerScore6","participants__stats__playerScore7","participants__stats__playerScore8","participants__stats__playerScore9","participants__stats__perk0","participants__stats__perk0Var1","participants__stats__perk0Var2","participants__stats__perk0Var3","participants__stats__perk1","participants__stats__perk1Var1","participants__stats__perk1Var2","participants__stats__perk1Var3","participants__stats__perk2","participants__stats__perk2Var1","participants__stats__perk2Var2","participants__stats__perk2Var3","participants__stats__perk3","participants__stats__perk3Var1","participants__stats__perk3Var2","participants__stats__perk3Var3","participants__stats__perk4","participants__stats__perk4Var1","participants__stats__perk4Var2","participants__stats__perk4Var3","participants__stats__perk5","participants__stats__perk5Var1","participants__stats__perk5Var2","participants__stats__perk5Var3","participants__stats__perkPrimaryStyle","participants__stats__perkSubStyle","participants__stats__statPerk0","participants__stats__statPerk1","participants__stats__statPerk2","participants__timeline__participantId","participants__timeline__|","participants__timeline__|__10-20","participants__timeline__|__0-10","participants__timeline__|__30-end","participants__timeline__|__20-30","participants__timeline__role","participants__timeline__lane","participants__champion","participants__playerName"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldPerMinDeltas","298.7","218.8","457.79999999999995","393.4","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenPerMinDeltas","580.3","271.4","1120.9","541.7","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","5","100","44","4","3","GOLD","5","True","3190","3401","3111","3050","3109","2055","3364","1","5","14","0","1","0","1312","0","0","0","0","0","79190","29846","20492","28850","0","8607","5847","2759","0","16351","5","43029","4702","657","96","25","30541","11818","12678","6044","11291","11250","0","0","126","4","0","0","109","16","10","0","40","14","False","False","False","False","False","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8465","4415","0","0","8401","353","0","0","8473","1033","0","0","8453","2081","1781","0","8345","4","0","0","8347","0","0","0","8400","8300","5005","5003","5003","5","creepsPerMinDeltas","4.800000000000001","5.9","0.5","1","DUO","MIDDLE","Taric","Awootism"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpPerMinDeltas","359.8","308.2","411.7","263.9","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldPerMinDeltas","264","217.89999999999998","252.39999999999998","247.29999999999998","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenPerMinDeltas","529","268.3","1139.1","458","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","6","200","68","4","12","SILVER","6","False","3135","3151","3020","3157","1058","3165","3340","9","4","13","4","2","3","1068","2","0","0","0","0","213811","185479","14125","14205","0","36293","30321","1099","4872","17541","1","50470","19370","1202","25","20","44471","11357","32606","508","17101","14650","0","0","205","22","12","0","224","18","2","0","16","3","True","False","False","False","False","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8229","3387","0","0","8224","476","0","0","8233","24","50","0","8237","752","0","0","8139","1732","0","0","8135","8765","5","0","8200","8100","5007","5008","5002","6","creepsPerMinDeltas","7.1","5.6","1.9","4.4","SOLO","TOP","Rumble","Noxian Exile"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpPerMinDeltas","553.8","454.2","442.8","411.8","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldPerMinDeltas","321.3","323.4","379.5","308.6","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","csDiffPerMinDeltas","-2.200000000000001","-0.8999999999999995","-3.2","-1.4999999999999998","","","",""
